class, NOCom, NCLOC, DCP,,x,,,y,,,x*y,,z,,,x*z,,,,,,,m_nocom,m_ncloc,m_dcp,,,,,rank_nocom,rank_ncloc,rank_dcp,,d_nocom_ncloc^2,d_nocom_dcp^2
./src/main/java/org/jfree/chart/swing/NumberCellRenderer.java,2,30,61.54,,-4.742088608,22.48740436,,-115.039557,13234.09967,,545.5277725,,-1.93136076,3.730154385,,9.158683858,,,,,,,,,,,545.5277725,9.158683855,,539,435,287,,10816,63504
./src/main/java/org/jfree/chart/swing/Overlay.java,3,7,91.03,,-3.742088608,14.00322715,,-138.039557,19054.91929,,516.5562535,,27.55863924,759.4785968,,-103.12687,,,,,,,,,,,516.5562535,-103.1268699,,466,519,39,,2809,182329
./src/main/java/org/jfree/chart/swing/OverlayChangeEvent.java,2,7,86,,-4.742088608,22.48740436,,-138.039557,19054.91929,,654.5958105,,22.52863924,507.539586,,-106.8328035,,,,,,,,,,,654.5958105,-106.8328035,,539,519,144,,400,156025
./src/main/java/org/jfree/chart/swing/OverlayChangeListener.java,2,5,89.58,,-4.742088608,22.48740436,,-140.039557,19611.07751,,664.0799877,,26.10863924,681.661043,,-123.8094807,,,,,,,,,,,664.0799877,-123.8094807,,539,574,74,,1225,216225
./src/main/java/org/jfree/chart/swing/PolarChartPanel.java,2,116,46.05,,-4.742088608,22.48740436,,-29.03955696,843.2958686,,137.7081522,,-17.42136076,303.5038107,,82.6136364,,,,,,,,,,,137.7081522,82.61363639,,539,234,529,,93025,100
./src/main/java/org/jfree/chart/swing/SelectionZoomStrategy.java,4,24,85,,-2.742088608,7.519049932,,-121.039557,14650.57435,,331.9011902,,21.52863924,463.4823075,,-59.03343641,,,,,,,,,,,331.9011902,-59.0334364,,380,447,147,,4489,54289
./src/main/java/org/jfree/chart/swing/UIUtils.java,2,85,53.04,,-4.742088608,22.48740436,,-60.03955696,3604.7484,,284.7128991,,-10.43136076,108.8132873,,49.46643703,,,,,,,,,,,284.7128991,49.46643702,,539,282,411,,66049,16384
./src/main/java/org/jfree/chart/text/AttributedStringUtils.java,3,43,51.14,,-3.742088608,14.00322715,,-102.039557,10412.07119,,381.8410636,,-12.33136076,152.0624582,,46.14504462,,,,,,,,,,,381.8410636,46.14504461,,466,396,440,,4900,676
./src/main/java/org/jfree/chart/text/format/HexNumberFormat.java,2,46,66.18,,-4.742088608,22.48740436,,-99.03955696,9808.833843,,469.6543548,,2.70863924,7.336726532,,-12.84460728,,,,,,,,,,,469.6543548,-12.84460728,,539,390,233,,22201,93636
./src/main/java/org/jfree/chart/text/format/HMSNumberFormat.java,2,32,69.52,,-4.742088608,22.48740436,,-113.039557,12777.94144,,536.0435953,,6.04863924,36.58603666,,-28.68318323,,,,,,,,,,,536.0435953,-28.68318323,,539,432,215,,11449,104976
./src/main/java/org/jfree/chart/text/format/LogFormat.java,2,98,55.86,,-4.742088608,22.48740436,,-47.03955696,2212.719919,,223.0657472,,-7.61136076,57.93281262,,36.09374715,,,,,,,,,,,223.0657472,36.09374715,,539,262,364,,76729,30625
./src/main/java/org/jfree/chart/text/format/RelativeDateFormat.java,2,229,54.29,,-4.742088608,22.48740436,,83.96044304,7049.355995,,-398.1478604,,-9.18136076,84.29738541,,43.53882627,,,,,,,,,,,-398.1478604,43.53882626,,539,111,389,,183184,22500
./src/main/java/org/jfree/chart/text/G2TextMeasurer.java,3,18,71.43,,-3.742088608,14.00322715,,-127.039557,16139.04903,,475.3932788,,7.95863924,63.33993855,,-29.78193324,,,,,,,,,,,475.3932788,-29.78193323,,466,454,199,,144,71289
./src/main/java/org/jfree/chart/text/TextAnchor.java,3,51,64.83,,-3.742088608,14.00322715,,-94.03955696,8843.438274,,351.9043548,,1.35863924,1.845900584,,-5.084148422,,,,,,,,,,,351.9043548,-5.084148424,,466,373,247,,8649,47961
./src/main/java/org/jfree/chart/text/TextBlock.java,11,137,49.63,,4.257911392,18.12980943,,-8.039556962,64.63447615,,-34.23172118,,-13.84136076,191.5832677,,-58.93528766,,,,,,,,,,,-34.23172118,-58.93528766,,88,207,470,,14161,145924
./src/main/java/org/jfree/chart/text/TextBlockAnchor.java,5,12,78.18,,-1.742088608,3.034872717,,-133.039557,17699.52372,,231.7666965,,14.70863924,216.3440683,,-25.62375286,,,,,,,,,,,231.7666965,-25.62375285,,311,474,180,,26569,17161
